더다이닝랩,11.5,24,서울 마포구 양화로23길 22-7,37.5597173,126.9252536,0,54.814812,32.8888872,49.3333308,106.8888834,30.1481466,0,0,0,0,0,84.4074047,111.8888853,0,0,49.3111059,0,37.5703664,103.3185076,44.6148101,0,0,56.5999947,0,0,75.4666596,58.6962908,18.8666649,0,18.4888872,0,0,115.555545,97.0666578,0,0,29.3333315,23.9999985,15.999999,82.6666615,114.6666595,0,0,57.3333318,31.851851,63.703702,121.0370338,47.7777765,0
뉴욕엔와이,11.5,23,서울 마포구 와우산로21길 28-11,37.5529284,126.9223249,0,17.7857118,20.7499971,27.6666628,23.7142824,8.8928559,0,0,13.8809517,21.4523799,31.5476175,45.4285692,13.8809517,0,0,13.5714264,12.4404742,16.964283,33.928566,36.1904704,0,0,22.619044,16.666664,13.095236,46.428564,20.238092,0,0,33.7499967,28.9285686,22.4999978,43.3928529,32.142854,0,0,31.9285692,21.2857128,54.9880914,39.0238068,21.2857128,8.869047,0,33.214284,27.67857,27.67857,60.892854,20.297618,9.22619
오늘의연어,12,23,서울 마포구 동교로 212-9,37.5594294,126.9241146,0,30.4390224,32.9756076,88.780482,68.4878004,32.9756076,0,0,35.9024368,20.1951207,29.1707299,78.5365805,33.6585345,26.9268276,0,0,40.5853632,50.731704,96.3902376,65.9512152,0,0,22.6707294,35.0365818,39.1585326,82.439016,26.7926802,0,0,26.9634123,36.7682895,39.2195088,93.1463334,49.024386,0,0,37.0243884,0,40.1097541,64.7926797,117.2438966,49.3658512,0,49.829265,22.14634,44.29268,91.3536525,71.975605,19.3780475
초마,11.5,21,서울 마포구 와우산로 72,37.5508352,126.9234064,0,54.445374,106.025202,40.117644,54.445374,31.521006,0,0,29.8571396,58.1428508,21.9999976,29.8571396,17.2857124,0,0,85.378148,42.689074,46.9579814,38.4201666,0,0,0,57.9999952,57.9999952,49.7142816,41.428568,0,0,0,79.260498,37.4285685,28.6218465,46.2352905,28.6218465,0,0,64.5588195,14.7563016,33.2016786,46.1134425,25.8235278,0,0,43.7899122,85.1470515,7.2983187,63.2520954,34.0588206,0
도누리오빠곱창,13,1,서울 마포구 잔다리로2길 17,37.5516819,126.9208105,0,0,27.5294088,30.588232,53.529406,25.9999972,15.294116,0,0,26.9803888,32.0392117,59.0196005,26.9803888,23.6078402,0,0,28.235292,39.999997,89.411758,51.764702,25.882351,0,0,0,49.0196025,74.5097958,41.1764661,31.3725456,0,0,28.9999957,34.117642,51.176463,32.4117599,23.8823494,0,0,30.5882325,30.5882325,71.3725425,50.9803875,20.392155,0,36.7058808,30.588234,42.8235276,59.1372524,44.8627432,26.5098028
중화가정,11.5,22,서울 마포구 잔다리로2길 19,37.5516914,126.9209552,0,58.1203266,58.1203266,41.514519,91.3319418,27.676346,0,0,48.6224028,64.8298704,24.3112014,78.3360934,48.6224028,5.4024892,0,65.2697056,53.4024864,38.5684624,83.0705344,56.3692912,0,0,62.6224038,51.2365122,37.0041477,79.7012412,54.0829851,0,0,59.58506,77.460578,59.58506,59.58506,41.709542,0,0,63.6265498,0,66.5186657,86.763477,52.0580862,20.2448113,0,50.9377554,62.2572566,56.597506,67.9170072,56.597506,0
릴린,11.5,22,서울 마포구 동교로34길 17,37.5609284,126.9252623,0,25.7272697,58.4710675,60.8099102,77.1818091,11.6942135,0,0,27.537188,35.404956,80.644622,53.107434,0,0,0,0,0,0,209.91734,0,0,0,61.9834675,24.793387,81.8181771,64.4628062,14.8760322,0,0,35.7024762,39.669418,59.504127,63.4710688,0,0,0,57.9669363,27.603303,44.1652848,55.206606,91.0908999,0,0,47.9008242,71.8512363,50.5619811,87.8181777,18.6280983,0
가미우동,12,20,서울 마포구 홍익로2길 23,37.5546352,126.9238384,0,86.4137876,92.586201,74.0689608,55.5517206,0,0,0,54.0689604,57.931029,46.3448232,34.7586174,0,0,0,92.1379264,31.6724122,54.7068938,80.6206856,28.793102,0,0,95.1379274,88.9999966,0,122.758616,0,0,0,85.862064,82.9999952,0,117.3448208,0,0,0,108.2586141,38.8620666,63.8448237,30.5344809,36.0862047,0,0,61.7586192,85.77586,30.8793096,120.086204,0,0
새우왕 알베르토,15,23,서울 마포구 어울마당로 123,37.5556118,126.9236206,0,0,17.2595373,14.5343472,29.9770911,22.7099175,6.3587769,0,0,0,51.6183108,24.580148,25.8091554,20.8931258,0,0,0,23.854955,43.8931172,27.6717478,0,0,0,0,29.6717503,47.7328157,51.603044,0,0,0,0,20.7633563,40.3053387,47.6335821,13.4351129,0,0,21.5267148,34.0839651,44.8473225,44.8473225,34.0839651,0,29.4045786,19.6030524,45.7404556,55.5419818,27.7709909,14.7022893
중화복춘,12,23,서울 마포구 동교로 220-7,37.5595279,126.9242445,0,64.052976,34.695362,69.390724,74.728472,21.350992,2.668874,0,53.907282,29.6490051,16.1721846,70.0794666,83.5562871,16.1721846,0,66.2582735,20.1655615,28.807945,80.662246,80.662246,11.523178,0,70.0794666,35.0397333,31.854303,101.9337696,66.8940363,12.7417212,0,64.8874114,0,56.423836,78.9933704,59.2450278,22.5695344,0,42.807944,24.0794685,34.7814545,90.966881,50.8344335,24.0794685,0,49.8278106,44.2913872,47.0595989,96.8874095,41.5231755,8.3046351
